"","1P","2PP","2PS"
"DASE_C",13.6246294282392,21.7530511091523,19.4395631542331
"DASE_O",13.567507038645,21.7764089279055,19.4629290398752
"AD_S",14.0667510494181,21.5599311707168,19.2455831419207
"POET_S",9.46818000723353,22.2875809950607,19.9733903592772
"NREL_S",12.7286598956079,22.2221963351653,19.9079956009846
"AD_N",11.9990733335194,18.7656581114519,16.4620973341575
"POET_N",6.67830299994116,19.5207532333218,17.294013009814
"NREL_N",10.0406487407811,19.3636870821661,17.0486628983523
"CS_N",6.12514849815343,18.7047510378719,16.3896155644429
"GWC16",1.27741070356069,0.918068658312439,1.47153256060126
"GWC20",0,0,0
